Q2(GeV2/c2) GE       dGE          
0.00790435  0.999295 0.000226169  
0.012875    0.998054 0.000327208  
0.0190242   0.997979 0.000440119  
0.0263684   0.99773  0.000564046  
0.0316128   0.995386 0.000344603  
0.0348699   0.997223 0.000698296  
0.0445541   0.994514 0.000842377  
0.0514877   0.993587 0.000507705  
0.0554199   0.993713 0.000995877  
0.0674657   0.992831 0.00115846   
0.0760697   0.990565 0.000694686  
0.0806893   0.987654 0.00132984   
0.0950589   0.98856  0.00150973   
0.105421    0.987664 0.000904872  
0.11063    0.98374  0.00169804   
0.127338    0.980631 0.00189448   
0.139387    0.982618 0.00113732   
0.154068    0.980602 0.00162444     
0.178067    0.978698 0.00139172   
0.194474    0.969711 0.00195821   
0.221449    0.971109 0.00166763   
0.239514    0.970108 0.00231671   
0.26952     0.964009 0.0019645    
0.289057    0.96136  0.00269927   
0.322267    0.958946 0.00228196   
0.343273    0.960918 0.00310608   
0.379556    0.950858 0.00261942   
0.402031    0.946984 0.0035361    
0.4416      0.945822 0.00297667   
0.465169    0.946496 0.00398828   
0.508132    0.935678 0.00335294   
0.532762    0.935251 0.00446375   
0.604917    0.935283 0.00496115   
0.614183    0.92707  0.00332218   
0.6813      0.915125 0.00548047   
0.775052    0.90622  0.00407501   
0.953374    0.881387 0.00488426   
1.14996     0.868514 0.00575053   
1.36426     0.840808 0.00666317  
1.59555     0.822354 0.00761786   
1.8445      0.801601 0.00860429  
2.10985     0.795157 0.00961182   
2.39179     0.765816 0.0106459    
2.69001     0.749816 0.0116946    
